N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
128,한화생명,"3,670","하락
				65",-1.74%,"5,000","31,875","868,530",10.56,"2,495,580",4.72,6.98,
129,롯데지주,"30,300","하락
				600",-1.94%,200,"31,787","104,909",8.53,"459,455",-2.95,-15.56,
130,동서,"31,200","상승
				500",+1.63%,500,"31,106","99,700",4.19,"113,520",20.94,9.52,
131,대한전선,"16,220","상승
				450",+2.85%,"1,000","30,242","186,447",6.83,"1,847,054",38.71,5.85,
132,산일전기,"99,100","상승
				6,400",+6.90%,500,"30,171","30,445",9.43,"928,436",30.83,29.88,
133,F&F,"77,100","하락
				1,000",-1.28%,100,"29,535","38,307",11.16,"54,474",8.49,25.27,
134,서울보증보험,"41,900","하락
				800",-1.87%,"2,500","29,255","69,822",0.78,"81,985",13.73,4.12,
135,TIGER 200,"43,210","상승
				145",+0.34%,0,"28,756","66,550",10.74,"1,768,671",N/A,N/A,
136,롯데케미칼,"66,900","하락
				1,900",-2.76%,"5,000","28,617","42,775",21.80,"235,508",-1.58,-11.44,
137,KODEX 200TR,"15,410","상승
				40",+0.26%,0,"28,362","184,050",0.00,"588,012",N/A,N/A,
138,KODEX 미국나스닥100,"21,290","하락
				165",-0.77%,0,"28,220","132,550",0.04,"1,321,978",N/A,N/A,
139,TIGER KOFR금리액티브(합성),"109,300",보합0,0.00%,0,"28,187","25,789",0.00,"44,384",N/A,N/A,
140,한화비전,"54,700","하락
				1,000",-1.80%,500,"27,617","50,488",19.93,"391,057",86.14,N/A,
141,코스맥스,"241,500","하락
				2,500",-1.02%,500,"27,409","11,350",36.75,"39,649",36.70,20.53,
142,에스원,"71,000","하락
				400",-0.56%,500,"26,979","37,999",56.00,"30,198",15.15,10.85,
143,KODEX 레버리지,"24,830","상승
				185",+0.75%,0,"26,754","107,750",0.44,"29,877,428",N/A,N/A,
144,영원무역,"59,400","하락
				300",-0.50%,500,"26,321","44,311",29.63,"59,179",6.11,12.32,
145,SK가스,"280,500","상승
				2,000",+0.72%,"5,000","25,933","9,245",7.43,"10,519",10.52,6.74,
146,한화엔진,"30,900","상승
				50",+0.16%,"1,000","25,785","83,447",15.10,"878,198",30.81,25.64,
147,달바글로벌,"210,000","상승
				2,500",+1.20%,100,"25,738","12,256",9.59,"133,614",147.16,26.21,
148,시프트업,"43,700","하락
				200",-0.46%,200,"25,688","58,782",37.46,"82,218",16.08,31.30,
149,아모레퍼시픽홀딩스,"32,100",보합0,0.00%,500,"25,506","79,458",10.57,"77,676",11.41,7.57,
150,HD현대인프라코어,"13,230","상승
				2,090",+18.76%,"1,000","25,480","192,591",14.70,"13,959,809",32.03,5.92,
151,이마트,"92,300","하락
				1,500",-1.60%,"5,000","25,471","27,596",24.88,"79,222",-4.71,-5.40,
152,TIGER 미국필라델피아반도체나스닥,"20,360","하락
				495",-2.37%,0,"25,196","123,750",0.12,"1,930,914",N/A,N/A,
153,제일기획,"21,600",보합0,0.00%,200,"24,849","115,041",23.50,"261,497",12.86,15.12,
154,iM금융지주,"14,690","하락
				70",-0.47%,"5,000","24,443","166,393",43.38,"487,809",9.63,3.60,
155,현대해상,"27,150","상승
				150",+0.56%,500,"24,272","89,400",34.02,"284,806",3.56,15.75,
156,한국앤컴퍼니,"25,550","상승
				800",+3.23%,500,"24,256","94,935",10.04,"118,417",6.89,8.28,
157,농심,"398,000","하락
				5,000",-1.24%,"5,000","24,209","6,083",19.10,"32,588",15.50,6.17,
158,더존비즈온,"79,000","상승
				1,000",+1.28%,500,"24,002","30,383",9.63,"203,341",44.68,12.17,
159,신영증권,"141,600","하락
				6,800",-4.58%,"5,000","23,279","16,440",6.95,"77,485",21.43,6.45,
160,한전KPS,"51,600","상승
				200",+0.39%,200,"23,220","45,000",12.62,"135,550",16.58,13.26,
161,RISE 머니마켓액티브,"54,460","상승
				5",+0.01%,0,"22,957","42,154",0.95,"418,321",N/A,N/A,
162,팬오션,"4,270","상승
				95",+2.28%,"1,000","22,826","534,570",15.76,"1,980,369",8.16,5.17,
163,한온시스템,"3,345","상승
				120",+3.72%,100,"22,705","678,763",5.19,"1,435,286",-4.85,-13.90,
164,한국콜마,"95,900","하락
				900",-0.93%,500,"22,637","23,605",41.13,"141,728",23.34,12.50,
165,ACE 미국30년국채액티브(H),"7,585","상승
				10",+0.13%,0,"22,581","297,700",0.01,"2,446,085",N/A,N/A,
166,미스토홀딩스,"37,500","상승
				600",+1.63%,"1,000","22,536","60,096",38.64,"127,758",23.99,4.30,
167,KODEX CD1년금리플러스액티브(합성),"1,023,415","상승
				55",+0.01%,0,"22,448","2,193",0.00,"7,341",N/A,N/A,
168,엘앤에프,"61,800","상승
				400",+0.65%,500,"22,443","36,316",16.05,"302,795",-5.95,-41.74,
169,ACE 미국S&P500,"21,940","하락
				50",-0.23%,0,"21,830","99,500",0.07,"880,560",N/A,N/A,
170,TIGER 미국배당다우존스,"11,985","상승
				40",+0.33%,0,"21,513","179,500",0.08,"1,091,238",N/A,N/A,
171,코리안리,"11,010","하락
				130",-1.17%,500,"21,450","194,821",26.89,"277,517",6.06,9.45,
172,씨에스윈드,"50,100","상승
				200",+0.40%,500,"21,128","42,171",14.53,"264,979",7.65,13.92,
173,롯데쇼핑,"74,600","하락
				400",-0.53%,"5,000","21,103","28,289",9.02,"99,333",-2.05,-7.75,
174,CJ대한통운,"91,500","하락
				1,000",-1.08%,"5,000","20,873","22,812",14.01,"59,784",8.88,6.58,
175,BGF리테일,"119,200","하락
				3,000",-2.45%,"1,000","20,602","17,284",28.51,"29,047",11.13,17.29,
176,SK아이이테크놀로지,"28,850","하락
				250",-0.86%,"1,000","20,569","71,298",6.83,"85,287",-10.00,-10.41,
177,호텔신라,"52,400","상승
				100",+0.19%,"5,000","20,566","39,248",13.18,"150,648",-31.72,-6.50,
178,DB하이텍,"45,900","상승
				300",+0.66%,"5,000","20,379","44,399",27.18,"148,353",8.82,12.44,
179,TIGER 머니마켓액티브,"100,805","상승
				10",+0.01%,0,"20,084","19,924",0.00,"102,109",N/A,N/A,
180,아시아나항공,"9,660","하락
				50",-0.51%,"5,000","19,899","205,991",2.80,"75,187",-8.78,-53.21,
181,한솔케미칼,"170,300","하락
				10,500",-5.81%,"5,000","19,304","11,335",34.01,"128,500",15.16,13.48,
182,HD현대마린엔진,"56,600","하락
				900",-1.57%,"2,500","19,200","33,921",12.89,"467,685",21.95,28.34,
183,대웅제약,"164,000","하락
				2,500",-1.50%,"2,500","19,002","11,587",9.21,"29,559",49.38,3.17,
184,KODEX 코스닥150레버리지,"9,180","상승
				80",+0.88%,0,"18,764","204,400",0.35,"23,378,274",N/A,N/A,
185,일진전기,"39,100","상승
				650",+1.69%,"1,000","18,645","47,685",10.15,"504,519",33.02,10.60,
186,동원산업,"47,000","하락
				400",-0.84%,"1,000","18,623","39,624",2.01,"21,135",26.26,2.74,
187,DL이앤씨,"47,950","상승
				250",+0.52%,"5,000","18,554","38,694",28.06,"174,922",8.81,4.77,
188,영원무역홀딩스,"134,200","하락
				1,000",-0.74%,500,"18,116","13,499",20.74,"18,084",5.52,13.17,
189,OCI홀딩스,"96,100","상승
				5,700",+6.31%,"5,000","18,081","18,815",17.63,"570,005",-23.35,2.54,
190,녹십자,"153,100","하락
				3,000",-1.92%,"5,000","17,892","11,687",20.47,"43,284",62.29,-2.06,
191,파라다이스,"19,500",보합0,0.00%,500,"17,790","91,230",8.73,"888,631",22.16,4.97,
192,신세계,"183,800","하락
				1,400",-0.76%,"5,000","17,728","9,645",12.30,"24,300",28.93,2.54,
193,GS건설,"20,300","상승
				250",+1.25%,"5,000","17,373","85,581",23.43,"268,953",12.50,5.63,
194,HL만도,"36,950","상승
				2,600",+7.57%,"1,000","17,351","46,957",24.93,"1,163,216",95.23,5.47,
195,TIGER 25-10 회사채(A+이상)액티브,"55,185","상승
				10",+0.02%,0,"17,154","31,084",0.20,"112,223",N/A,N/A,
196,현대백화점,"75,500","하락
				1,500",-1.95%,"5,000","17,085","22,629",23.27,"62,905",-48.00,-0.81,
197,DN오토모티브,"29,000","상승
				1,800",+6.62%,100,"16,968","58,511",4.08,"197,752",5.53,19.78,
198,SNT다이내믹스,"50,800","하락
				800",-1.55%,"2,500","16,892","33,253",8.14,"44,687",16.72,12.90,
199,엠앤씨솔루션,"183,400","하락
				1,900",-1.03%,100,"16,788","9,154",5.46,"31,986",54.58,21.82,
200,에스엘,"35,700","상승
				4,050",+12.80%,500,"16,582","46,449",15.55,"1,435,642",4.71,17.42,
